C:\Users\KillDeath\PycharmProjects\PythonProject1\.venv1\Scripts\python.exe C:\Users\KillDeath\PycharmProjects\PythonProject1\Transactions_scoring\Module4_tune_isoforest_contamination.py 
✅ Loading dataset for tuning...
✅ Data normalized using RobustScaler.

🔍 Total parameter combinations: 72. Starting grid search...

🔄 Progress: 1/72 | n_estimators=50, contamination=0.0175, max_samples=0.8, max_features=1.0
✅ Metrics: anomaly_ratio=0.0175, avg_score=0.1103, std_score=0.0339, silhouette_score=0.7378
🔄 Progress: 51/72 | n_estimators=150, contamination=0.0175, max_samples=0.8, max_features=0.5
✅ Metrics: anomaly_ratio=0.0175, avg_score=0.1040, std_score=0.0319, silhouette_score=0.7309
🔄 Progress: 52/72 | n_estimators=150, contamination=0.0175, max_samples=0.5, max_features=1.0
✅ Metrics: anomaly_ratio=0.0175, avg_score=0.1152, std_score=0.0343, silhouette_score=0.7793
🔄 Progress: 53/72 | n_estimators=150, contamination=0.0175, max_samples=0.5, max_features=0.8
✅ Metrics: anomaly_ratio=0.0175, avg_score=0.1143, std_score=0.0341, silhouette_score=0.7335
🔄 Progress: 54/72 | n_estimators=150, contamination=0.0175, max_samples=0.5, max_features=0.5
✅ Metrics: anomaly_ratio=0.0175, avg_score=0.1053, std_score=0.0317, silhouette_score=0.7180
🔄 Progress: 55/72 | n_estimators=150, contamination=0.02, max_samples=0.8, max_features=1.0
✅ Metrics: anomaly_ratio=0.0200, avg_score=0.1061, std_score=0.0340, silhouette_score=0.7333
🔄 Progress: 56/72 | n_estimators=150, contamination=0.02, max_samples=0.8, max_features=0.8
✅ Metrics: anomaly_ratio=0.0200, avg_score=0.1049, std_score=0.0339, silhouette_score=0.7233
🔄 Progress: 57/72 | n_estimators=150, contamination=0.02, max_samples=0.8, max_features=0.5
✅ Metrics: anomaly_ratio=0.0200, avg_score=0.0998, std_score=0.0319, silhouette_score=0.7132
🔄 Progress: 58/72 | n_estimators=150, contamination=0.02, max_samples=0.5, max_features=1.0
✅ Metrics: anomaly_ratio=0.0200, avg_score=0.1096, std_score=0.0343, silhouette_score=0.8468
🔄 Progress: 59/72 | n_estimators=150, contamination=0.02, max_samples=0.5, max_features=0.8
✅ Metrics: anomaly_ratio=0.0200, avg_score=0.1081, std_score=0.0341, silhouette_score=0.7293
🔄 Progress: 60/72 | n_estimators=150, contamination=0.02, max_samples=0.5, max_features=0.5
✅ Metrics: anomaly_ratio=0.0200, avg_score=0.1009, std_score=0.0317, silhouette_score=0.7123
🔄 Progress: 61/72 | n_estimators=150, contamination=0.0225, max_samples=0.8, max_features=1.0
✅ Metrics: anomaly_ratio=0.0225, avg_score=0.1014, std_score=0.0340, silhouette_score=0.7629
🔄 Progress: 62/72 | n_estimators=150, contamination=0.0225, max_samples=0.8, max_features=0.8
✅ Metrics: anomaly_ratio=0.0225, avg_score=0.1003, std_score=0.0339, silhouette_score=0.7172
🔄 Progress: 63/72 | n_estimators=150, contamination=0.0225, max_samples=0.8, max_features=0.5
✅ Metrics: anomaly_ratio=0.0225, avg_score=0.0957, std_score=0.0319, silhouette_score=0.7057
🔄 Progress: 64/72 | n_estimators=150, contamination=0.0225, max_samples=0.5, max_features=1.0
✅ Metrics: anomaly_ratio=0.0225, avg_score=0.1049, std_score=0.0343, silhouette_score=0.8365
🔄 Progress: 65/72 | n_estimators=150, contamination=0.0225, max_samples=0.5, max_features=0.8
✅ Metrics: anomaly_ratio=0.0225, avg_score=0.1031, std_score=0.0341, silhouette_score=0.7171
🔄 Progress: 66/72 | n_estimators=150, contamination=0.0225, max_samples=0.5, max_features=0.5
✅ Metrics: anomaly_ratio=0.0225, avg_score=0.0962, std_score=0.0317, silhouette_score=0.7138
🔄 Progress: 67/72 | n_estimators=150, contamination=0.025, max_samples=0.8, max_features=1.0
✅ Metrics: anomaly_ratio=0.0250, avg_score=0.0976, std_score=0.0340, silhouette_score=0.8224
🔄 Progress: 68/72 | n_estimators=150, contamination=0.025, max_samples=0.8, max_features=0.8
✅ Metrics: anomaly_ratio=0.0250, avg_score=0.0962, std_score=0.0339, silhouette_score=0.8248
🔄 Progress: 69/72 | n_estimators=150, contamination=0.025, max_samples=0.8, max_features=0.5
✅ Metrics: anomaly_ratio=0.0250, avg_score=0.0914, std_score=0.0319, silhouette_score=0.7003
🔄 Progress: 70/72 | n_estimators=150, contamination=0.025, max_samples=0.5, max_features=1.0
✅ Metrics: anomaly_ratio=0.0250, avg_score=0.1002, std_score=0.0343, silhouette_score=0.8276
🔄 Progress: 71/72 | n_estimators=150, contamination=0.025, max_samples=0.5, max_features=0.8
✅ Metrics: anomaly_ratio=0.0250, avg_score=0.0980, std_score=0.0341, silhouette_score=0.8292
🔄 Progress: 72/72 | n_estimators=150, contamination=0.025, max_samples=0.5, max_features=0.5
✅ Metrics: anomaly_ratio=0.0250, avg_score=0.0912, std_score=0.0317, silhouette_score=0.7058

✅ Tuning completed. Results saved to: check_files/isoforest_tuning/isoforest_tuning_results.xlsx

🔹 Top 10 by silhouette_score:
    n_estimators  contamination  ...  std_score  silhouette_score
57           150         0.0200  ...   0.034297          0.846808
33           100         0.0200  ...   0.034611          0.844731
0             50         0.0175  ...   0.033427          0.843228
39           100         0.0225  ...   0.034611          0.838650
27           100         0.0175  ...   0.034611          0.837853
15            50         0.0225  ...   0.035033          0.836857
12            50         0.0225  ...   0.033427          0.836856
37           100         0.0225  ...   0.034056          0.836629
63           150         0.0225  ...   0.034297          0.836493
21            50         0.0250  ...   0.035033          0.833697

[10 rows x 8 columns]

Process finished with exit code 0
